Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1989","1989","kg CO2eq/kg","0.2062","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1990","1990","kg CO2eq/kg","0.1865","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1991","1991","kg CO2eq/kg","0.1818","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1992","1992","kg CO2eq/kg","0.1683","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1993","1993","kg CO2eq/kg","0.1605","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1994","1994","kg CO2eq/kg","0.1628","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1995","1995","kg CO2eq/kg","0.164","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1996","1996","kg CO2eq/kg","0.1635","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1997","1997","kg CO2eq/kg","0.1501","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1998","1998","kg CO2eq/kg","0.1624","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","1999","1999","kg CO2eq/kg","0.1647","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2000","2000","kg CO2eq/kg","0.1585","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2001","2001","kg CO2eq/kg","0.1491","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2002","2002","kg CO2eq/kg","0.1464","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2003","2003","kg CO2eq/kg","0.1661","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2004","2004","kg CO2eq/kg","0.1407","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2005","2005","kg CO2eq/kg","0.1474","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2006","2006","kg CO2eq/kg","0.1524","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2007","2007","kg CO2eq/kg","0.1623","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2008","2008","kg CO2eq/kg","0.1356","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2009","2009","kg CO2eq/kg","0.1393","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2010","2010","kg CO2eq/kg","0.1552","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2011","2011","kg CO2eq/kg","0.1428","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2012","2012","kg CO2eq/kg","0.155","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2013","2013","kg CO2eq/kg","0.1426","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2014","2014","kg CO2eq/kg","0.1362","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2015","2015","kg CO2eq/kg","0.1422","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2016","2016","kg CO2eq/kg","0.1417","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2017","2017","kg CO2eq/kg","0.1419","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2018","2018","kg CO2eq/kg","0.1421","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2019","2019","kg CO2eq/kg","0.1359","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2020","2020","kg CO2eq/kg","0.1417","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2021","2021","kg CO2eq/kg","0.1365","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.1339","E","Estimated value"
"EI","Emissions intensities","150","Europe","71761","Emissions intensity","F1718","Cereals excluding rice","2023","2023","kg CO2eq/kg","0.1335","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1961","1961","t","256457419","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1962","1962","t","273784075","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1963","1963","t","242769607","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1964","1964","t","288743281","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1965","1965","t","269702924","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1966","1966","t","319080013","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1967","1967","t","314305601","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1968","1968","t","335937467","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1969","1969","t","332410265","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1970","1970","t","342848318","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1971","1971","t","370582709","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1972","1972","t","363852166","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1973","1973","t","411374841","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1974","1974","t","399742711","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1975","1975","t","337398795","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1976","1976","t","412425758","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1977","1977","t","398134788","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1978","1978","t","455557267","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1979","1979","t","394009117","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1980","1980","t","419367803","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1981","1981","t","378836572","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1982","1982","t","428141072","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1983","1983","t","421053975","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1984","1984","t","448109210","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1985","1985","t","442611592","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1986","1986","t","458368599","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1987","1987","t","448022664","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1988","1988","t","444978126","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1989","1989","t","466697033","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1990","1990","t","478861561","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1991","1991","t","444380349.7","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1992","1992","t","394438536.4","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1993","1993","t","399766295.1","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1994","1994","t","370741910.2","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1995","1995","t","361776223.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1996","1996","t","375028945.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1997","1997","t","424073999.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1998","1998","t","368469624","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","1999","1999","t","359613014.2","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2000","2000","t","367609345.2","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2001","2001","t","412125398.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2002","2002","t","417317459.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2003","2003","t","345376862.8","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2004","2004","t","447173264.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2005","2005","t","406459519.1","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2006","2006","t","384960888.8","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2007","2007","t","372562435.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2008","2008","t","482810672.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2009","2009","t","442351150.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2010","2010","t","383592856.7","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2011","2011","t","444427649.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2012","2012","t","396591967.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2013","2013","t","462875043.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2014","2014","t","502527418.2","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2015","2015","t","479773188.1","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2016","2016","t","488003385.8","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2017","2017","t","501778552.3","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2018","2018","t","478043356.9","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2019","2019","t","521226439.7","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2020","2020","t","502567076.7","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2021","2021","t","527343568.6","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2022","2022","t","503888124.7","E","Estimated value"
"EI","Emissions intensities","150","Europe","5510","Production","F1718","Cereals excluding rice","2023","2023","t","494676660.8","E","Estimated value"
